timestamp,perf_time_sec,sample_index,DAT1,DAT2,DAT3,DAT4
2026-05-22T15:23:59.892,96200.653474,3804,7135563,9245417,8911241,8072091
2026-05-22T15:23:59.892,96200.653738,3805,7135475,9245465,8911039,8072191
2026-05-22T15:23:59.935,96200.697003,3806,7135489,9245297,8911225,8072163
2026-05-22T15:23:59.937,96200.699157,3807,7135467,9245367,8911057,8072233
2026-05-22T15:23:59.952,96200.713286,3808,7135497,9245293,8911173,8072155
2026-05-22T15:23:59.952,96200.713633,3809,7135553,9245359,8911055,8072141
2026-05-22T15:23:59.952,96200.713677,3810,7135519,9245341,8911115,8072093
2026-05-22T15:23:59.953,96200.714826,3811,7135585,9245527,8910939,8072093
2026-05-22T15:23:59.967,96200.728325,3812,7135651,9245479,8911145,8071881
2026-05-22T15:23:59.967,96200.728468,3813,7135733,9245577,8911047,8071969
2026-05-22T15:23:59.981,96200.742842,3814,7135685,9245475,8911169,8072111
2026-05-22T15:23:59.996,96200.757896,3815,7135597,9245531,8911119,8072221
2026-05-22T15:24:00.011,96200.772949,3816,7135525,9245465,8911323,8072251
2026-05-22T15:24:00.026,96200.788116,3817,7135607,9245547,8911245,8072267
2026-05-22T15:24:00.027,96200.788268,3818,7135621,9245387,8911339,8072195
2026-05-22T15:24:00.027,96200.788291,3819,7135543,9245463,8911217,8072193
2026-05-22T15:24:00.041,96200.803062,3820,7135475,9245337,8911347,8072139
2026-05-22T15:24:00.056,96200.818001,3821,7135573,9245429,8911235,8072195
2026-05-22T15:24:00.071,96200.832852,3822,7135561,9245293,8911339,8072225
2026-05-22T15:24:00.087,96200.848315,3823,7135629,9245371,8911147,8072253
2026-05-22T15:24:00.101,96200.863106,3824,7135617,9245289,8911177,8072201
2026-05-22T15:24:00.117,96200.879094,3825,7135565,9245343,8911101,8072243
2026-05-22T15:24:00.118,96200.879233,3826,7135457,9245185,8911139,8072221
2026-05-22T15:24:00.118,96200.879363,3827,7135515,9245269,8911047,8072215
2026-05-22T15:24:00.133,96200.894844,3828,7135509,9245199,8911103,8072195
2026-05-22T15:24:00.147,96200.908998,3829,7135441,9245229,8911081,8072195
2026-05-22T15:24:00.147,96200.909049,3830,7135381,9245117,8911159,8072137
2026-05-22T15:24:00.147,96200.909167,3831,7135365,9245319,8910991,8072165
2026-05-22T15:24:00.163,96200.924645,3832,7135279,9245283,8911123,8072021
2026-05-22T15:24:00.178,96200.939374,3833,7135285,9245393,8911123,8071841
2026-05-22T15:24:00.193,96200.954661,3834,7135199,9245239,8911161,8072073
2026-05-22T15:24:00.193,96200.954775,3835,7135221,9245339,8911167,8072127
2026-05-22T15:24:00.238,96200.999672,3836,7135301,9245319,8911173,8072031
2026-05-22T15:24:00.268,96201.029338,3837,7135373,9245397,8911015,8072083
2026-05-22T15:24:00.269,96201.031023,3838,7135245,9245263,8911043,8072029
2026-05-22T15:24:00.269,96201.031081,3839,7135249,9245407,8911017,8072017
2026-05-22T15:24:00.282,96201.043374,3840,7135197,9245353,8911069,8072123
2026-05-22T15:24:00.282,96201.043569,3841,7135375,9245433,8911023,8072139
2026-05-22T15:24:00.311,96201.072556,3842,7135417,9245223,8911005,8072137
2026-05-22T15:24:00.328,96201.090045,3843,7135527,9245401,8910989,8072155
2026-05-22T15:24:00.329,96201.090395,3844,7135411,9245297,8911107,8072139
2026-05-22T15:24:00.329,96201.090595,3845,7135313,9245365,8911099,8072183
2026-05-22T15:24:00.330,96201.091379,3846,7135267,9245289,8911183,8072227
2026-05-22T15:24:00.343,96201.105042,3847,7135407,9245421,8911157,8072179
2026-05-22T15:24:00.359,96201.120444,3848,7135257,9245297,8911159,8071957
2026-05-22T15:24:00.373,96201.134686,3849,7135391,9245397,8911029,8072165
2026-05-22T15:24:00.387,96201.148792,3850,7135487,9245313,8911017,8072201
2026-05-22T15:24:00.404,96201.165599,3851,7135503,9245397,8911071,8072157
2026-05-22T15:24:00.419,96201.180620,3852,7135417,9245345,8911113,8072227
2026-05-22T15:24:00.432,96201.193598,3853,7135623,9245451,8911113,8072223
2026-05-22T15:24:00.447,96201.209047,3854,7135535,9245301,8911061,8072205
2026-05-22T15:24:00.462,96201.223433,3855,7135451,9245355,8911047,8072175
2026-05-22T15:24:00.462,96201.223742,3856,7135339,9245237,8911071,8072193
2026-05-22T15:24:00.476,96201.238215,3857,7135351,9245371,8911051,8072119
2026-05-22T15:24:00.491,96201.253223,3858,7135231,9245303,8911067,8072115
2026-05-22T15:24:00.537,96201.298586,3859,7135363,9245375,8911025,8072131
2026-05-22T15:24:00.537,96201.298827,3860,7135293,9245243,8911025,8072099
2026-05-22T15:24:00.552,96201.313410,3861,7135247,9245317,8911097,8072147
2026-05-22T15:24:00.567,96201.328412,3862,7135089,9245283,8911071,8072183
2026-05-22T15:24:00.582,96201.343433,3863,7135203,9245397,8911083,8072141
2026-05-22T15:24:00.597,96201.358910,3864,7135167,9245299,8911079,8072137
2026-05-22T15:24:00.612,96201.373991,3865,7135263,9245369,8911121,8072057
2026-05-22T15:24:00.627,96201.388579,3866,7135239,9245277,8911075,8072073
2026-05-22T15:24:00.627,96201.388945,3867,7135311,9245401,8911149,8071947
2026-05-22T15:24:00.628,96201.389880,3868,7135143,9245315,8911117,8071661
2026-05-22T15:24:00.628,96201.390150,3869,7135229,9245343,8911131,8071491
2026-05-22T15:24:00.629,96201.390362,3870,7135075,9245289,8911173,8071497
2026-05-22T15:24:00.642,96201.403292,3871,7135113,9245371,8911199,8071513
2026-05-22T15:24:00.657,96201.419098,3872,7135043,9245335,8911171,8071911
2026-05-22T15:24:00.673,96201.434435,3873,7135253,9245423,8911163,8072179
2026-05-22T15:24:00.673,96201.434810,3874,7135151,9245363,8911013,8072271
2026-05-22T15:24:00.688,96201.449464,3875,7135149,9245395,8911091,8072253
2026-05-22T15:24:00.702,96201.463705,3876,7135091,9245207,8910975,8072253
2026-05-22T15:24:00.717,96201.478499,3877,7135207,9245253,8910961,8072199
2026-05-22T15:24:00.717,96201.478713,3878,7135157,9245193,8910895,8072185
2026-05-22T15:24:00.718,96201.479957,3879,7135243,9245281,8910999,8072093
2026-05-22T15:24:00.733,96201.494859,3880,7135053,9245233,8910919,8072113
2026-05-22T15:24:00.748,96201.510065,3881,7135157,9245347,8911033,8072063
2026-05-22T15:24:00.763,96201.524906,3882,7135105,9245283,8911023,8072087
2026-05-22T15:24:00.777,96201.539024,3883,7135243,9245353,8911105,8072053
2026-05-22T15:24:00.778,96201.539259,3884,7135241,9245285,8910963,8072029
2026-05-22T15:24:00.778,96201.539330,3885,7135367,9245295,8911027,8071963
2026-05-22T15:24:00.779,96201.540611,3886,7135293,9245291,8910941,8072121
2026-05-22T15:24:00.792,96201.553367,3887,7135475,9245353,8910995,8072105
2026-05-22T15:24:00.792,96201.553533,3888,7135429,9245323,8910905,8072147
2026-05-22T15:24:00.836,96201.597826,3889,7135693,9245385,8911017,8072075
